Track_duration(s);Popularity;Danceability;Key;Loudness;Mode;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Time Signature;Explicit;Energy
275.44;83;0.729;5;8.824;1;0.0344;0.149;0.00000287;0.0604;0.777;131.459;4;0;0.844
234.906;74;0.533;7;10.61;1;0.0366;0.0116;0.0565;0.186;0.726;124.874;4;0;0.783
192.333;48;0.638;0;4.642;1;0.0444;0.0942;0;0.327;0.762;100.03;4;1;0.937
245;51;0.534;5;14.339;1;0.0359;0.715;0.00000324;0.11;0.499;108.886;4;0;0.269
207.706;45;0.516;0;3.043;1;0.0704;0.0213;0.000013;0.158;0.456;99.086;4;0;0.922
144.866;55;0.667;1;7.544;1;0.0353;0.817;0;0.107;0.82;83.816;4;0;0.412
195.373;34;0.866;2;9.256;1;0.207;0.0712;0.000116;0.148;0.662;88.972;4;0;0.762
217.133;54;0.818;9;4.813;0;0.0375;0.126;0.000032;0.0382;0.937;137.969;4;0;0.713
384.306;71;0.545;9;8.045;1;0.0485;0.537;0.0000018;0.104;0.101;80.948;4;0;0.485
163.603;81;0.4;8;6.303;1;0.0674;0.214;0;0.0656;0.393;81.552;4;0;0.641
250.066;0;0.895;2;4.693;1;0.0977;0.0219;0;0.0403;0.574;105.004;4;0;0.795
287.906;76;0.514;11;6.765;0;0.0577;0.00488;0.0345;0.0746;0.353;123.067;4;0;0.898
212.6;0;0.789;7;4.762;1;0.0323;0.0348;0.00000164;0.302;0.658;116.992;4;0;0.634
294.933;0;0.649;5;8.841;1;0.0353;0.0471;0;0.0816;0.702;144.226;4;0;0.82
239.876;0;0.653;2;4.842;1;0.0311;0.00398;0.00455;0.0927;0.386;125.641;4;0;0.806
187.173;64;0.674;2;11.927;1;0.0597;0.29;0.00322;0.189;0.814;124.204;4;0;0.686
171.266;30;0.667;7;5.229;0;0.035;0.0000931;0.0000433;0.0572;0.492;111.996;4;0;0.621
212.626;46;0.446;11;10.26;0;0.033;0.272;0;0.16;0.396;137.829;4;0;0.489
198.613;0;0.608;7;7.832;1;0.0408;0.0779;0.00143;0.321;0.59;124.028;4;0;0.751
160.08;3;0.483;11;12.302;1;0.0281;0.845;0.0000158;0.348;0.404;107.728;4;0;0.321
163.346;55;0.393;7;14.601;0;0.0305;0.599;0;0.333;0.515;107.743;5;0;0.362
332.333;65;0.527;8;12.431;1;0.0321;0.655;0;0.0865;0.277;97.893;4;0;0.429
202.386;72;0.415;5;5.55;1;0.0278;0.251;0.00197;0.289;0.579;125.056;4;0;0.713
